西暦,和暦,産業,事業所数(事業所),従業者数(人),年間商品販売額(百万円),商品手持額(百万円),売場面積(m2)
2012年,平成24年,合計,21806,170510,6418870,403303,2500282
2014年,平成26年,合計,22139,180114,5972895,-,2576087
2014年,平成26年,卸売業計,5293,51970,3419213,-,-
2014年,平成26年,各種商品卸売業,16,205,18458,-,-
2014年,平成26年,繊維・衣服等卸売業,955,10408,304979,-,-
2014年,平成26年,飲食料品卸売業,1123,11187,869843,-,-
2014年,平成26年,"建築材料,鉱物・金属材料等卸売業",923,6955,454246,-,-
2014年,平成26年,機械器具卸売業,1094,12622,976585,-,-
2014年,平成26年,その他の卸売業,1182,10593,795102,-,-
2014年,平成26年,小売業計,16846,128144,2553682,-,2576087
2014年,平成26年,各種商品小売業,63,9657,344655,-,458340
2014年,平成26年,織物・衣服・身の回り品小売業,2508,11489,171095,-,451400
2014年,平成26年,飲食料品小売業,5317,50376,673094,-,644672
2014年,平成26年,機械器具小売業,2144,13552,434892,-,280200
2014年,平成26年,その他の小売業,6195,36802,671111,-,741475
2014年,平成26年,無店舗小売業,619,6268,258835,-,-
